player,web_name,position,points_2425,gw1_28,gw29_38,acceleration,f10_points,f10_minutes,code,player_id,position_group
Mohamed Salah,M.Salah,MID,344,306.0,38,-7.128571428571429,52.0,894.0,118748,381.0,MID/FWD
Vitalii Mykolenko,Mykolenko,DEF,121,83.0,38,0.8357142857142854,11.0,625.0,224967,292.0,DEF/GK
Julio Enciso,Enciso,MID,59,22.0,37,2.9142857142857146,0.0,0.0,474120,161.0,MID/FWD
Pedro Lomba Neto,Neto,MID,104,68.0,36,1.1714285714285717,43.0,753.0,247632,236.0,MID/FWD
Ismaïla Sarr,I.Sarr,MID,149,113.0,36,-0.4357142857142855,43.0,702.0,232185,267.0,MID/FWD
Alejandro Garnacho,Garnacho,MID,106,70.0,36,1.1,13.0,252.0,493105,453.0,MID/FWD
Ederson Santana de Moraes,Ederson M.,GK,111,75.0,36,0.9214285714285717,0.0,0.0,121160,399.0,DEF/GK
Matheus Luiz Nunes,Matheus N.,MID,81,45.0,36,1.9928571428571429,32.0,603.0,465351,407.0,MID/FWD
Youri Tielemans,Tielemans,MID,121,85.0,36,0.5642857142857145,8.0,315.0,166989,48.0,MID/FWD
Nikola Milenković,Milenković,DEF,145,109.0,36,-0.2928571428571427,15.0,900.0,227444,505.0,DEF/GK
Matheus Santos Carneiro Da Cunha,Cunha,FWD,178,143.0,35,-1.6071428571428568,23.0,612.0,430871,450.0,MID/FWD
Virgil van Dijk,Virgil,DEF,143,108.0,35,-0.3571428571428572,40.0,900.0,97032,373.0,DEF/GK
Kepa Arrizabalaga,Arrizabalaga,GK,106,71.0,35,0.9642857142857144,0.0,0.0,109745,2.0,DEF/GK
Gabriel Martinelli Silva,Martinelli,MID,125,90.0,35,0.2857142857142856,16.0,214.0,444145,19.0,MID/FWD
Alexis Mac Allister,Mac Allister,MID,122,87.0,35,0.3928571428571428,24.0,564.0,243016,386.0,MID/FWD
Jake O'Brien,O'Brien,DEF,65,30.0,35,2.428571428571429,27.0,867.0,512462,293.0,DEF/GK
Bernardo Veiga de Carvalho e Silva,Bernardo,MID,110,75.0,35,0.8214285714285716,20.0,550.0,165809,416.0,MID/FWD
Mateus Gonçalo Espanha Fernandes,M.Fernandes,MID,95,60.0,35,1.3571428571428572,27.0,552.0,551226,708.0,MID/FWD
Mathys Tel,Tel,MID,42,7.0,35,3.25,17.0,235.0,511499,584.0,MID/FWD
Matty Cash,Cash,DEF,76,41.0,35,2.0357142857142856,46.0,876.0,199796,36.0,DEF/GK
Tomáš Souček,Souček,MID,126,91.0,35,0.25,14.0,394.0,215439,613.0,MID/FWD
Danny Welbeck,Welbeck,FWD,125,91.0,34,0.1499999999999999,43.0,625.0,50175,178.0,MID/FWD
Emmanuel Agbadou,Agbadou,DEF,45,11.0,34,3.007142857142857,11.0,560.0,516939,631.0,DEF/GK
Mohammed Kudus,Kudus,MID,106,72.0,34,0.8285714285714283,45.0,875.0,460842,582.0,MID/FWD
Bernd Leno,Leno,GK,115,81.0,34,0.5071428571428571,32.0,900.0,80201,314.0,DEF/GK
Ian Maatsen,Maatsen,DEF,57,24.0,33,2.4428571428571426,6.0,169.0,441302,39.0,DEF/GK
Marshall Munetsi,Munetsi,MID,50,17.0,33,2.6928571428571426,35.0,782.0,433312,648.0,MID/FWD
Milos Kerkez,Kerkez,DEF,134,101.0,33,-0.3071428571428574,20.0,660.0,544877,371.0,DEF/GK
Iliman Ndiaye,Ndiaye,FWD,114,81.0,33,0.40714285714285703,52.0,824.0,440993,299.0,MID/FWD
Cole Palmer,Palmer,MID,214,181.0,33,-3.1642857142857146,11.0,144.0,244851,235.0,MID/FWD
Mikel Merino,Merino,MID,92,59.0,33,1.1928571428571426,18.0,323.0,195384,22.0,MID/FWD
Aaron Wan-Bissaka,Wan-Bissaka,DEF,118,86.0,32,0.12857142857142856,11.0,471.0,214590,610.0,DEF/GK
Reece James,James,DEF,54,22.0,32,2.4142857142857146,45.0,693.0,225796,225.0,DEF/GK
Bruno Guimarães Rodriguez Moura,Bruno G.,MID,135,103.0,32,-0.4785714285714282,46.0,805.0,208706,488.0,MID/FWD
Dominik Szoboszlai,Szoboszlai,MID,143,111.0,32,-0.7642857142857142,43.0,900.0,424876,387.0,MID/FWD
Cody Gakpo,Gakpo,FWD,127,96.0,31,-0.3285714285714283,45.0,795.0,243298,384.0,MID/FWD
David Raya Martin,Raya,GK,142,111.0,31,-0.8642857142857143,52.0,900.0,154561,1.0,DEF/GK
Raúl Jiménez,Raúl,FWD,147,116.0,31,-1.0428571428571431,24.0,392.0,102057,337.0,MID/FWD
Brennan Johnson,Johnson,MID,137,107.0,30,-0.8214285714285716,27.0,377.0,242898,580.0,MID/FWD
Illia Zabarnyi,Zabarnyi,DEF,94,64.0,30,0.7142857142857144,0.0,0.0,477580,71.0,DEF/GK
Daniel Muñoz,Muñoz,DEF,142,112.0,30,-1.0,54.0,900.0,247348,256.0,DEF/GK
Jakub Kiwior,Kiwior,DEF,43,13.0,30,2.5357142857142856,0.0,0.0,440854,9.0,DEF/GK
Elliot Anderson,Anderson,MID,107,78.0,29,0.11428571428571432,32.0,900.0,215379,517.0,MID/FWD
Murillo Santiago Costa dos Santos,Murillo,DEF,130,101.0,29,-0.7071428571428573,12.0,559.0,575476,506.0,DEF/GK
José Malheiro de Sá,José Sá,GK,93,64.0,29,0.6142857142857143,5.0,360.0,149065,628.0,DEF/GK
Dean Henderson,Henderson,GK,135,106.0,29,-0.8857142857142857,36.0,900.0,172649,253.0,DEF/GK
Nico O'Reilly,O’Reilly,MID,31,2.0,29,2.8285714285714283,40.0,593.0,472769,411.0,MID/FWD
Mateo Kovačić,Kovačić,MID,109,80.0,29,0.042857142857142705,1.0,4.0,91651,422.0,MID/FWD
Chris Wood,Wood,FWD,200,172.0,28,-3.3428571428571434,25.0,538.0,60689,525.0,MID/FWD
James Ward-Prowse,Ward-Prowse,MID,51,23.0,28,1.9785714285714284,11.0,414.0,101178,614.0,MID/FWD
Rasmus Højlund,Højlund,FWD,78,50.0,28,1.014285714285714,0.0,0.0,497894,465.0,MID/FWD
Mitoma Kaoru,Mitoma,MID,145,117.0,28,-1.378571428571429,20.0,508.0,451340,157.0,MID/FWD
Yankuba Minteh,Minteh,MID,102,74.0,28,0.15714285714285703,47.0,859.0,592031,160.0,MID/FWD
Yasin Ayari,Ayari,MID,74,46.0,28,1.157142857142857,26.0,781.0,509416,166.0,MID/FWD
Dwight McNeil,McNeil,MID,93,65.0,28,0.4785714285714282,3.0,51.0,433154,300.0,MID/FWD
Toti António Gomes,Toti,DEF,79,51.0,28,0.9785714285714284,5.0,435.0,510362,637.0,DEF/GK
Jean-Ricner Bellegarde,Bellegarde,MID,90,63.0,27,0.4500000000000002,11.0,405.0,231057,644.0,MID/FWD
Jean-Philippe Mateta,Mateta,FWD,150,123.0,27,-1.692857142857143,48.0,869.0,231747,283.0,MID/FWD
Moisés Caicedo Corozo,Caicedo,MID,98,71.0,27,0.1642857142857146,58.0,855.0,486672,241.0,MID/FWD
Brajan Gruda,Gruda,MID,45,18.0,27,2.0571428571428574,19.0,218.0,513433,162.0,MID/FWD
Carlos Alcaraz Durán,Alcaraz,MID,44,17.0,27,2.092857142857143,8.0,242.0,502697,301.0,MID/FWD
Norberto Bercique Gomes Betuncal,Beto,FWD,87,60.0,27,0.5571428571428574,20.0,595.0,486385,311.0,MID/FWD
Donyell Malen,Malen,MID,34,7.0,27,2.45,26.0,323.0,204646,53.0,MID/FWD
Alphonse Areola,Areola,GK,69,42.0,27,1.2000000000000002,13.0,540.0,84182,600.0,DEF/GK
Boubacar Kamara,Kamara,MID,57,30.0,27,1.6285714285714288,21.0,564.0,226944,58.0,MID/FWD
Carlos Baleba,Baleba,MID,87,60.0,27,0.5571428571428574,14.0,570.0,535301,167.0,MID/FWD
Tyrick Mitchell,Mitchell,DEF,123,97.0,26,-0.8642857142857143,44.0,900.0,244723,258.0,DEF/GK
Trevoh Chalobah,Chalobah,DEF,93,67.0,26,0.2071428571428573,49.0,750.0,180736,226.0,DEF/GK
Liam Delap,Delap,FWD,132,106.0,26,-1.1857142857142855,4.0,91.0,463034,250.0,MID/FWD
Matz Sels,Sels,GK,150,124.0,26,-1.8285714285714287,21.0,900.0,85633,502.0,DEF/GK
Neco Williams,N.Williams,DEF,109,83.0,26,-0.3642857142857143,18.0,900.0,215136,508.0,DEF/GK
André Onana,Onana,GK,120,94.0,26,-0.7571428571428571,0.0,0.0,202641,432.0,DEF/GK
Matt O'Riley,O'Riley,MID,50,25.0,25,1.6071428571428572,12.0,177.0,219249,164.0,MID/FWD
Jack Harrison,Harrison,MID,81,56.0,25,0.5,10.0,253.0,221399,352.0,MID/FWD
Sepp van den Berg,Van den Berg,DEF,62,37.0,25,1.1785714285714286,32.0,900.0,444765,113.0,DEF/GK
John McGinn,McGinn,MID,78,53.0,25,0.6071428571428572,27.0,767.0,122806,54.0,MID/FWD
Conor Bradley,Bradley,DEF,41,16.0,25,1.9285714285714286,15.0,447.0,492777,375.0,DEF/GK
Mikkel Damsgaard,Damsgaard,MID,131,106.0,25,-1.2857142857142856,31.0,632.0,440089,121.0,MID/FWD
Idrissa Gueye,Gana,MID,89,64.0,25,0.2142857142857144,32.0,859.0,80801,302.0,MID/FWD
William Saliba,Saliba,DEF,130,105.0,25,-1.25,38.0,634.0,462424,6.0,DEF/GK
Amadou Onana,Onana,MID,65,41.0,24,0.9357142857142857,15.0,415.0,449871,59.0,MID/FWD
Ibrahima Konaté,Konaté,DEF,106,82.0,24,-0.5285714285714285,38.0,832.0,204716,374.0,DEF/GK
Matt Doherty,Doherty,DEF,75,51.0,24,0.5785714285714285,2.0,291.0,87835,632.0,DEF/GK
Diego Gómez,Gómez,MID,30,7.0,23,2.05,25.0,454.0,514254,169.0,MID/FWD
Adama Traoré,Adama,MID,95,72.0,23,-0.2714285714285718,10.0,227.0,159533,326.0,MID/FWD
Jarrad Branthwaite,Branthwaite,DEF,88,65.0,23,-0.021428571428571797,0.0,0.0,480455,290.0,DEF/GK
James Justin,Justin,DEF,70,47.0,23,0.6214285714285712,4.0,77.0,220627,706.0,DEF/GK
Diogo Dalot Teixeira,Dalot,DEF,95,72.0,23,-0.2714285714285718,22.0,582.0,216051,440.0,DEF/GK
Dominic Solanke-Mitchell,Solanke,FWD,108,85.0,23,-0.7357142857142858,2.0,31.0,154566,596.0,MID/FWD
Lesley Ugochukwu,Ugochukwu,MID,47,24.0,23,1.4428571428571426,27.0,518.0,503714,676.0,MID/FWD
Pau Torres,Pau,DEF,55,32.0,23,1.157142857142857,19.0,507.0,244954,41.0,DEF/GK
Adam Smith,Smith,DEF,57,34.0,23,1.0857142857142856,8.0,204.0,54469,73.0,DEF/GK
Tosin Adarabioyo,Tosin,DEF,71,49.0,22,0.4500000000000002,14.0,377.0,109646,232.0,DEF/GK
Jurriën Timber,J.Timber,DEF,114,92.0,22,-1.0857142857142854,66.0,791.0,445122,8.0,DEF/GK
Noussair Mazraoui,Mazraoui,DEF,88,66.0,22,-0.15714285714285703,9.0,143.0,230001,438.0,DEF/GK
Amad Diallo,Amad,MID,129,107.0,22,-1.6214285714285714,29.0,663.0,493250,452.0,MID/FWD
Simon Adingra,Adingra,MID,60,38.0,22,0.842857142857143,13.0,271.0,535818,543.0,MID/FWD
Wilson Odobert,Odobert,MID,34,12.0,22,1.7714285714285716,12.0,331.0,550839,588.0,MID/FWD
Emile Smith Rowe,Smith Rowe,MID,114,92.0,22,-1.0857142857142854,15.0,213.0,209289,325.0,MID/FWD
Jérémy Doku,Doku,MID,88,66.0,22,-0.15714285714285703,33.0,544.0,248875,418.0,MID/FWD
Alisson Ramses Becker,A.Becker,GK,112,90.0,22,-1.0142857142857142,20.0,540.0,116535,366.0,DEF/GK
Mats Wieffer,Wieffer,MID,52,30.0,22,1.1285714285714288,33.0,549.0,467779,173.0,MID/FWD
Ryan Gravenberch,Gravenberch,MID,92,71.0,21,-0.4357142857142855,50.0,691.0,441266,390.0,MID/FWD
Keane Lewis-Potter,Lewis-Potter,MID,94,73.0,21,-0.5071428571428571,21.0,446.0,249231,107.0,MID/FWD
Nico González,N.Gonzalez,MID,31,10.0,21,1.7428571428571429,20.0,554.0,465694,423.0,MID/FWD
Bart Verbruggen,Verbruggen,GK,103,82.0,21,-0.8285714285714283,20.0,900.0,489639,139.0,DEF/GK
Marcus Rashford,Rashford,MID,95,74.0,21,-0.5428571428571427,0.0,0.0,176297,451.0,MID/FWD
Oleksandr Zinchenko,Zinchenko,DEF,40,19.0,21,1.4214285714285715,5.0,253.0,206325,12.0,DEF/GK
Ethan Nwaneri,Nwaneri,MID,66,45.0,21,0.4928571428571429,7.0,163.0,499175,25.0,MID/FWD
Maxence Lacroix,Lacroix,DEF,114,93.0,21,-1.2214285714285715,50.0,900.0,437499,257.0,DEF/GK
Benjamin White,White,DEF,50,29.0,21,1.0642857142857143,6.0,70.0,198869,11.0,DEF/GK
James Garner,Garner,MID,42,22.0,20,1.2142857142857144,39.0,900.0,232928,303.0,MID/FWD
Adam Wharton,Wharton,MID,42,22.0,20,1.2142857142857144,23.0,631.0,496221,273.0,MID/FWD
Rodrigo Muniz Carvalho,Muniz,FWD,86,66.0,20,-0.3571428571428572,16.0,332.0,244042,338.0,MID/FWD
Jadon Sancho,Sancho,MID,86,66.0,20,-0.3571428571428572,3.0,68.0,209243,456.0,MID/FWD
Niclas Füllkrug,Füllkrug,FWD,42,22.0,20,1.2142857142857144,10.0,379.0,91889,625.0,MID/FWD
Bukayo Saka,Saka,MID,127,107.0,20,-1.8214285714285716,33.0,591.0,223340,16.0,MID/FWD
Jefferson Lerma Solís,Lerma,MID,58,38.0,20,0.6428571428571428,19.0,270.0,152551,272.0,MID/FWD
Nicolás Domínguez,Dominguez,MID,54,34.0,20,0.7857142857142858,1.0,52.0,250199,519.0,MID/FWD
Joelinton Cássio Apolinário de Lira,Joelinton,MID,99,79.0,20,-0.8214285714285716,20.0,626.0,180974,490.0,MID/FWD
Noni Madueke,Madueke,MID,120,100.0,20,-1.5714285714285716,10.0,304.0,248857,18.0,MID/FWD
Malo Gusto,Gusto,DEF,60,40.0,20,0.5714285714285714,24.0,473.0,482609,228.0,DEF/GK
Harvey Elliott,Elliott,MID,33,14.0,19,1.4,4.0,97.0,444884,389.0,MID/FWD
João Victor Gomes da Silva,J.Gomes,MID,87,68.0,19,-0.5285714285714285,22.0,745.0,448089,646.0,MID/FWD
Tyler Adams,Adams,MID,58,39.0,19,0.5071428571428571,35.0,863.0,200785,85.0,MID/FWD
Pervis Estupiñán,Estupiñan,DEF,63,44.0,19,0.3285714285714285,0.0,0.0,204214,147.0,DEF/GK
André Trindade da Costa Neto,André,MID,61,42.0,19,0.3999999999999999,24.0,613.0,509291,643.0,MID/FWD
Manuel Ugarte,Ugarte,MID,49,31.0,18,0.6928571428571428,12.0,281.0,232112,459.0,MID/FWD
Myles Lewis-Skelly,Lewis-Skelly,MID,37,19.0,18,1.1214285714285714,6.0,86.0,499169,10.0,MID/FWD
Eddie Nketiah,Nketiah,FWD,53,35.0,18,0.55,8.0,107.0,205533,284.0,MID/FWD
Yehor Yarmoliuk,Yarmoliuk,MID,43,25.0,18,0.9071428571428571,29.0,785.0,508395,129.0,MID/FWD
Max Kilman,Kilman,DEF,82,64.0,18,-0.48571428571428554,19.0,900.0,214048,605.0,DEF/GK
Curtis Jones,Jones,MID,87,70.0,17,-0.8,13.0,322.0,206915,388.0,MID/FWD
Manuel Akanji,Akanji,DEF,61,44.0,17,0.12857142857142856,0.0,0.0,211975,404.0,DEF/GK
Jean-Clair Todibo,Todibo,DEF,54,37.0,17,0.37857142857142856,6.0,396.0,462116,609.0,DEF/GK
Andreas Hoelgebaum Pereira,Andreas,MID,81,64.0,17,-0.5857142857142856,0.0,0.0,156689,327.0,MID/FWD
Emerson Palmieri dos Santos,Emerson,DEF,76,59.0,17,-0.40714285714285725,0.0,0.0,109533,604.0,DEF/GK
Erling Haaland,Haaland,FWD,181,164.0,17,-4.157142857142857,98.0,854.0,223094,430.0,MID/FWD
Tyler Dibling,Dibling,MID,68,51.0,17,-0.12142857142857144,3.0,62.0,496661,707.0,MID/FWD
James Maddison,Maddison,MID,133,117.0,16,-2.5785714285714287,0.0,0.0,172780,581.0,MID/FWD
João Pedro Ferreira Silva,Jota Silva,MID,52,36.0,16,0.3142857142857143,1.0,11.0,510500,518.0,MID/FWD
Joachim Andersen,Andersen,DEF,51,35.0,16,0.3500000000000001,36.0,761.0,174874,317.0,DEF/GK
Tyrone Mings,Mings,DEF,47,31.0,16,0.4928571428571429,24.0,497.0,149484,40.0,DEF/GK
Lewis Cook,Cook,MID,82,66.0,16,-0.7571428571428571,4.0,34.0,155408,88.0,MID/FWD
João Pedro Junqueira de Jesus,João Pedro,FWD,126,110.0,16,-2.3285714285714283,52.0,847.0,475168,249.0,MID/FWD
Marcus Tavernier,Tavernier,MID,87,71.0,16,-0.9357142857142855,45.0,766.0,201658,84.0,MID/FWD
Marc Guéhi,Guéhi,DEF,116,101.0,15,-2.107142857142857,64.0,900.0,209036,260.0,DEF/GK
Chris Richards,C.Richards,DEF,68,53.0,15,-0.3928571428571428,44.0,900.0,427623,261.0,DEF/GK
Antonee Robinson,Robinson,DEF,106,91.0,15,-1.75,3.0,61.0,169528,316.0,DEF/GK
Michael Keane,Keane,DEF,48,33.0,15,0.3214285714285714,41.0,874.0,106611,295.0,DEF/GK
Sander Berge,Berge,MID,53,38.0,15,0.1428571428571428,25.0,868.0,207189,330.0,MID/FWD
Harry Wilson,Wilson,MID,78,63.0,15,-0.75,33.0,594.0,153682,329.0,MID/FWD
Ryan Yates,Yates,MID,67,52.0,15,-0.3571428571428572,10.0,209.0,204968,522.0,MID/FWD
Sávio 'Savinho' Moreira de Oliveira,Savinho,MID,106,91.0,15,-1.75,15.0,351.0,510281,415.0,MID/FWD
Andrew Robertson,Robertson,DEF,91,76.0,15,-1.2142857142857144,11.0,236.0,122798,372.0,DEF/GK
Richarlison de Andrade,Richarlison,FWD,35,20.0,15,0.7857142857142857,38.0,541.0,212319,597.0,MID/FWD
Will Hughes,Hughes,MID,67,53.0,14,-0.4928571428571429,13.0,439.0,108413,270.0,MID/FWD
Saša Lukić,Lukić,MID,56,42.0,14,-0.10000000000000009,27.0,632.0,212314,332.0,MID/FWD
Rodrigo Martins Gomes,R.Gomes,MID,42,28.0,14,0.3999999999999999,13.0,331.0,483081,635.0,MID/FWD
Jacob Ramsey,Ramsey,MID,66,52.0,14,-0.4571428571428573,3.0,124.0,232653,52.0,MID/FWD
Lucas Digne,Digne,DEF,89,75.0,14,-1.2785714285714285,33.0,727.0,101188,37.0,DEF/GK
Adam Webster,Webster,DEF,39,25.0,14,0.507142857142857,0.0,0.0,110735,153.0,DEF/GK
Calvin Bassey,Bassey,DEF,75,61.0,14,-0.7785714285714285,26.0,818.0,232892,318.0,DEF/GK
Omari Giraud-Hutchinson,Hutchinson,MID,88,75.0,13,-1.3785714285714283,5.0,97.0,503301,693.0,MID/FWD
Daichi Kamada,Kamada,MID,45,32.0,13,0.15714285714285725,29.0,676.0,209400,271.0,MID/FWD
Nicolas Jackson,N.Jackson,FWD,121,108.0,13,-2.557142857142857,0.0,0.0,517052,251.0,MID/FWD
Justin Kluivert,Kluivert,MID,158,145.0,13,-3.878571428571429,16.0,330.0,222683,81.0,MID/FWD
Dango Ouattara,O.Dango,MID,111,98.0,13,-2.2,35.0,550.0,533463,83.0,MID/FWD
Archie Gray,Gray,MID,45,32.0,13,0.15714285714285725,4.0,71.0,547701,591.0,MID/FWD
Harry Maguire,Maguire,DEF,48,35.0,13,0.050000000000000044,27.0,270.0,95658,442.0,DEF/GK
Lucas Tolentino Coelho de Lima,L.Paquetá,MID,80,67.0,13,-1.0928571428571427,41.0,877.0,224024,612.0,MID/FWD
Facundo Buonanotte,Buonanotte,MID,75,62.0,13,-0.9142857142857144,1.0,45.0,536916,168.0,MID/FWD
Kristoffer Ajer,Ajer,DEF,39,26.0,13,0.37142857142857144,19.0,388.0,191866,108.0,DEF/GK
Cristian Romero,Romero,DEF,49,37.0,12,-0.12142857142857144,33.0,660.0,221632,569.0,DEF/GK
James Tarkowski,Tarkowski,DEF,105,93.0,12,-2.121428571428572,38.0,900.0,17761,291.0,DEF/GK
Tom Cairney,Cairney,MID,33,21.0,12,0.44999999999999996,8.0,196.0,76357,331.0,MID/FWD
Santiago Bueno,S.Bueno,DEF,52,40.0,12,-0.22857142857142865,24.0,574.0,231480,636.0,DEF/GK
Justin Devenny,Devenny,MID,34,22.0,12,0.41428571428571426,9.0,157.0,489706,276.0,MID/FWD
Jack Grealish,Grealish,MID,38,26.0,12,0.27142857142857135,40.0,736.0,114283,419.0,MID/FWD
Kenny Tete,Tete,DEF,49,37.0,12,-0.12142857142857144,23.0,630.0,167074,322.0,DEF/GK
Kyle Walker-Peters,Walker-Peters,DEF,54,42.0,12,-0.30000000000000004,14.0,458.0,158534,659.0,DEF/GK
Timothy Castagne,Castagne,DEF,46,35.0,11,-0.1499999999999999,10.0,397.0,166477,319.0,DEF/GK
Rico Lewis,Lewis,DEF,66,55.0,11,-0.8642857142857141,15.0,172.0,477064,410.0,DEF/GK
James McAtee,McAtee,MID,31,20.0,11,0.3857142857142858,4.0,126.0,432714,426.0,MID/FWD
Guglielmo Vicario,Vicario,GK,66,55.0,11,-0.8642857142857141,46.0,900.0,184254,565.0,DEF/GK
Pape Matar Sarr,P.M.Sarr,MID,71,60.0,11,-1.0428571428571427,35.0,480.0,482442,593.0,MID/FWD
Callum Hudson-Odoi,Hudson-Odoi,MID,103,92.0,11,-2.1857142857142855,22.0,567.0,209046,516.0,MID/FWD
Anthony Gordon,Gordon,MID,124,113.0,11,-2.9357142857142855,12.0,461.0,232826,485.0,MID/FWD
Jan Paul van Hecke,Van Hecke,DEF,87,76.0,11,-1.6142857142857143,35.0,900.0,469142,151.0,DEF/GK
Konstantinos Tsimikas,Tsimikas,DEF,43,32.0,11,-0.042857142857142705,0.0,0.0,214285,377.0,DEF/GK
Mads Hermansen,Hermansen,GK,63,53.0,10,-0.8928571428571428,9.0,360.0,467189,679.0,DEF/GK
Mathias Jensen,Jensen,MID,38,28.0,10,0.0,20.0,208.0,207283,126.0,MID/FWD
Kobbie Mainoo,Mainoo,MID,42,32.0,10,-0.1428571428571428,7.0,138.0,516895,458.0,MID/FWD
Carlos Henrique Casimiro,Casemiro,MID,48,38.0,10,-0.3571428571428572,42.0,546.0,61256,457.0,MID/FWD
